smiles,logCMC
CCCCCCCCCCOC(=O)CS(=O)(=O)[O-],4.342422681
CCCCOC(=O)CC(C(=O)OCCCC)S(=O)(=O)[O-],5.301029996
CCCCCOC(=O)CC(C(=O)OCCCCC)S(=O)(=O)[O-],4.72427587
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-],3.397940009
CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)[O-],2.959041392
CCCCCCCCCCCCC(C(=O)OCC)S(=O)(=O)[O-],3.352182518
CCCCCCCCCCCCC(C(=O)OCCCC)S(=O)(=O)[O-],3.130333768
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.462397998
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.477121255
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.51851394
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,4.477121255
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.69019608
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.799340549
CCCCCCOC(=O)CC(C(=O)OCCCCCC)S(=O)(=O)[O-],3.146128036
CCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-],2.86332286
CCCCCCCCCC[N+](C)(C)CC(=O)[O-],4.255272505
CCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],3.301029996
CCCCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],2.342422681
CCCCCCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],1.301029996
CCCCCCCCCCCC[N+](C)(C)CCCC(=O)[O-],3.662757832
CCCCCCCCCCCC[N+](C)(C)CCCCCC(=O)[O-],3.414973348
CCCCCCCCCCCC[N+](C)(C)CCCCCCCC(=O)[O-],3.176091259
CCCCCCCCCCC(C(=O)[O-])[n+]1ccccc1,3.716003344
CCCCCCCCCCCCC(C(=O)[O-])[n+]1ccccc1,2.77815125
CCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],3.477121255
CCCCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],2.505149978
CCCCC(C)CCCCOCCOCCOCCOCCOCCOCCO,3.472756449
CCCCC(C)CCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,3.505149978
CCC(C)CCOCCOCCOCCOCCOCCOCCO,5.0
CCCC(C)CCCOCCOCCOCCOCCOCCOCCO,4.361727836
CCCCCCCCCCCCC(C(=O)O)S(=O)(=O)O,3.716003344
CCCCCCOCCOCCOCCOCCOCCOCCO,5.900913068
CCCCCCCCCCCC[NH3+],4.169282472
CCCCCCCCCCCC[n+]1cccc2ccccc21,3.681241237
CCCCCCOCCOCCOCCOCCO,4.954242509
CCCCCCOCCOCCOCCOCCOCCO,4.966141733
CC(C)(C)OCCOCCOCCOCCOCCOCCO,5.959041392
C[N+](C)([O-])CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.672097858
CCCCCCCCC[N+](C)(C)[O-],4.73239376
CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,4.113943352
CCCCCCCCCCCCc1cccc(S(=O)(=O)[O-])c1,3.164352856
CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,3.201397124
CCCCCCCCCC(=O)[O-],4.973127854
CCCCCCCCCCOS(=O)(=O)[O-],4.518777069
CCCCCCCCC(C)OS(=O)(=O)[O-],4.665580991
CCCCC(OC(=O)C(CC(=O)[O-])S(=O)(=O)O)C(CC)CC,3.397940009
CCCCCCCCCCCC(=O)[O-],4.387389826
CCCCCCCCCOS(=O)(=O)[O-],4.810098041
CCCCCCCCOS(=O)(=O)[O-],5.124667218
CCCCCCCCS(=O)(=O)[O-],5.190331698
CCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,3.662757832
CCCCCCCCCCCCCC(=O)[O-],3.838849091
CCCCCCCCCCCCC(C)OS(=O)(=O)[O-],3.514547753
CCCCCCCCCCC(CCC)OS(=O)(=O)[O-],3.709269961
CCCCCCCCCCCOS(=O)(=O)[O-],4.204119983
CCCCCCCCOC1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,4.404824048
CCCCCCCC[n+]1ccccc1,5.289532895
CCCCCCCCCCCCCCCC[N+](C)(C)C,1.82704827
CCCCCCCCCCCC[N+](C)(C)C,3.228362284
CCCCCCCCCCCCCCCC[N+](CCC)(CCC)CCC,3.113611136
CCCCCCCCCCCCCC[N+](CCC)(CCC)CCC,3.67896679
CCCCCCCCCCCCCC[N+](C)(C)C,4.004470045
CCCCCCCCCCCCCC[n+]1ccccc1,3.836618366
CCCCCCCCCCCC[n+]1ccccc1,4.558275583
CCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-],1.862898629
CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-],2.087750878
CCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-],2.311103111
CCCCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-],1.649446494
CCCCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-],1.960549605
CCCCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-],2.276302763
CCCCCC(C)(C)c1ccc(OCCO)cc1,2.349803498
CCCCCC(C)(C)c1ccc(OCCOCCO)cc1,2.071550716
CCCCCC(C)(C)c1ccc(OCCOCCOCCO)cc1,2.008850089
CCCCCC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,2.100801008
CCCCCC(C)(C)c1ccc(OCCOCCOCCOCCOCCO)cc1,2.174901749
CCCCCC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCO)cc1,2.304053041
CCCCCC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,2.390453905
CCCCCC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,2.456904569
CCCCCC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,2.528905289
CCCCCC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,2.551555516
O=S(=O)([O-])c1ccc(OCCCCCCOc2ccc(S(=O)(=O)[O-])cc2)cc1,3.640866409
