smiles,logCMC
CCCCCCCCCCCC[N+](C)(C)CCCC,3.875061263
CCCCCCCCCCn1cc[n+](CCCC[n+]2ccn(CCCCCCCCCC)c2)c1,3.705
CCCCCCn1cc[n+](COCCCCCCOC[n+]2ccn(CCCCCC)c2)c1,3.29
CCCCCCCCC=CCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,1.73239376
CCn1cc[n+](COCCCCCOC[n+]2ccn(CC)c2)c1,3.67
CCCCCCC(CCC)OC1OC(CO)C(O)C(O)C1O,4.079181246
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,0.220108088
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCO)cc1,1.986771734
CCCCCCCCCCCC[N+](C)(C)CCCCCC,3.491361694
CCCCCCCC[N+](C)(C)C,5.146128036
CCCCCC(C)(C)c1ccc(OCCO)cc1,2.349803498
CCC(C)CCOCCOCCOCCOCCOCCOCCO,5
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.477121255
CCCCCCCCC(C)OC1OC(CO)C(O)C(O)C1O,3.653212514
CCCCCCCCCCCCCC(=O)[O-],3.838849091
CCCCCCCCCCCC[N+](C)(C)C(=O)NCCCCCCCCCCCCNC(=O)[N+](C)(C)CCCCCCCCCCCC,2.342
CCCCCCCCCCCC[N+](C)(C)CC(O)CN(CCCCC)CC(O)C[N+](C)(C)CCCCCCCCCCCC,2.594
CCCCCCCCCCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCCCCCCCCCC)CCCC2)CCCC1,1.021
CCCCCCCCCCC(C)OCCOCCOCCOCCOCCO,1.82104821
CCCCCCCCCCCCCCC(CSCCCSCC(CCCCCCCCCCCCCC)[n+]1ccn(C)c1)[n+]1ccn(C)c1,1.322
CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-],2.087750878
CCCCCCCCCCCC[N+](C)(C)C,4.204119983
CCCCCCCCCCCCCC[N+](CC)(CC)CC,3.491361694
CCCCCCCCCCCCn1cc[n+](CC(O)C[n+]2ccn(CCCCCCCCCCCC)c2)c1,2.892
CCCCCCCCCn1cc[n+](COCCOC[n+]2ccn(CCCCCCCCC)c2)c1,3.19
CCCCCCCCS(=O)(=O)[O-],5.190331698
CCCCCCCCCCCOS(=O)(=O)[O-],4.204119983
CC(C)CCCC(C)CCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,3.72427587
CCCCn1cc[n+](COCCCCCCOC[n+]2ccn(CCCC)c2)c1,3.46
CCCCC(OC(=O)C(CC(=O)[O-])S(=O)(=O)O)C(CC)CC,3.397940009
CCCCCC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCO)cc1,2.304053041
CCCCCn1cc[n+](COCCCCCCOC[n+]2ccn(CCCCC)c2)c1,3.38
CCCCCC(C)(C)c1ccc(OCCOCCO)cc1,2.071550716
CCCCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](OC1OC(O)C(O)C(O)C1O)[C@H](O)CO,1.183091831
CCCCCCCCCCn1cc[n+](CCC[n+]2ccn(CCCCCCCCCC)c2)c1,3.528
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.51851394
CCCCCC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,2.100801008
