smile_A,mol_fraction_A,smile_B,mol_fraction_B,logCMC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],1,CCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],0,3.84509804
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0,CCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],1,3.278753601
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.25,CCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],0.75,2.301029996
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.5,CCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],0.5,2.477121255
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.75,CCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],0.25,2.903089987
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],1,CCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],0,3.84509804
CCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],1,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0,3.342422681
CCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],0.75,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.25,3.301029996
CCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],0.5,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.5,3.431363764
CCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],0.25,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.75,3.505149978
CCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],0,CCCCCCCCCCCC[N+](C)(C)C.[Br-],1,4.149219113
CCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],1,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0,3.278753601
CCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],0.75,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.25,3.301029996
CCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],0.5,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.5,3.447158031
CCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],0.25,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.75,3.69019608
CCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],0,CCCCCCCCCCCC[N+](C)(C)C.[Br-],1,4.149219113
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0,CCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-],1,2.944975908
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.25,CCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-],0.75,2.053078443
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.5,CCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-],0.5,2.212187604
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.75,CCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-],0.25,2.487138375
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.85,CCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-],0.15,2.687528961
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.95,CCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-],0.05,3.102090526
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],1,CCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-],0,3.741939078
CCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],1,CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],0,4.225309282
CCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],0.75,CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],0.25,3.792391689
CCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],0.5,CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],0.5,3.725094521
CCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],0.25,CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],0.75,3.494154594
CCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],0,CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],1,2.672097858
CCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],1,CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],0,3.380211242
CCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],0.75,CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],0.25,2.968482949
CCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],0.5,CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],0.5,2.934498451
CCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],0.25,CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],0.75,2.84509804
CCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],0,CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],1,2.672097858
CCCCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],1,CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],0,2.431363764
CCCCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],0.75,CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],0.25,2.204119983
CCCCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],0.5,CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],0.5,2.342422681
CCCCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],0.25,CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],0.75,2.380211242
CCCCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],0,CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],1,2.672097858
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0,CCCCCCCCCC[N+](C)(C)C.[Br-],1,3.877371346
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.1,CCCCCCCCCC[N+](C)(C)C.[Br-],0.9,3.791690649
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.3,CCCCCCCCCC[N+](C)(C)C.[Br-],0.7,3.688419822
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.5,CCCCCCCCCC[N+](C)(C)C.[Br-],0.5,3.612783857
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.7,CCCCCCCCCC[N+](C)(C)C.[Br-],0.3,3.593286067
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.9,CCCCCCCCCC[N+](C)(C)C.[Br-],0.1,3.579783597
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],1,CCCCCCCCCC[N+](C)(C)C.[Br-],0,3.552668216
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0,CCCCCCCCCCCC[N+](C)(C)C.[Br-],1,3.257678575
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.1,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.9,3.267171728
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.3,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.7,3.29666519
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.5,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.5,3.328379603
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.7,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.3,3.382017043
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.9,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.1,3.488550717
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],1,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0,3.552668216
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],1,2.69019608
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.1,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.9,2.716003344
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.3,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.7,2.740362689
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.5,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.5,2.832508913
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.7,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.3,2.982271233
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.9,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.1,3.278753601
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],1,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0,3.552668216
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],1,2.176091259
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.1,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.9,2.176091259
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.3,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.7,2.255272505
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.5,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.5,2.361727836
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.7,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.3,2.397940009
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.9,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.1,2.880813592
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],1,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0,3.552668216
CCCCCCCCCCCCCCCC(=O)OCCOCC(OCCOCCOCCOCCOCCO)C1OCC(OCCOCCOCCOCCOCCOCCOCCO)C1OCCOCCOCCOCCOCCOCCOCCOCCO,0,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,1,0.505149978
CCCCCCCCCCCCCCCC(=O)OCCOCC(OCCOCCOCCOCCOCCO)C1OCC(OCCOCCOCCOCCOCCOCCOCCO)C1OCCOCCOCCOCCOCCOCCOCCOCCO,0.17,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.83,0.556302501
CCCCCCCCCCCCCCCC(=O)OCCOCC(OCCOCCOCCOCCOCCO)C1OCC(OCCOCCOCCOCCOCCOCCOCCO)C1OCCOCCOCCOCCOCCOCCOCCOCCO,0.33,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.67,0.62324929
CCCCCCCCCCCCCCCC(=O)OCCOCC(OCCOCCOCCOCCOCCO)C1OCC(OCCOCCOCCOCCOCCOCCOCCO)C1OCCOCCOCCOCCOCCOCCOCCOCCO,0.5,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.5,0.72427587
CCCCCCCCCCCCCCCC(=O)OCCOCC(OCCOCCOCCOCCOCCO)C1OCC(OCCOCCOCCOCCOCCOCCOCCO)C1OCCOCCOCCOCCOCCOCCOCCOCCO,0.67,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.33,0.875061263
CCCCCCCCCCCCCCCC(=O)OCCOCC(OCCOCCOCCOCCOCCO)C1OCC(OCCOCCOCCOCCOCCOCCOCCO)C1OCCOCCOCCOCCOCCOCCOCCOCCO,0.83,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.17,1.004321374
CCCCCCCCCCCCCCCC(=O)OCCOCC(OCCOCCOCCOCCOCCO)C1OCC(OCCOCCOCCOCCOCCOCCOCCO)C1OCCOCCOCCOCCOCCOCCOCCOCCO,1,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0,1.36361198
CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],0,CCCCCCCCCCCCCCCC(=O)OCCOCC(OCCOCCOCCOCCOCCO)C1OCC(OCCOCCOCCOCCOCCOCCOCCO)C1OCCOCCOCCOCCOCCOCCOCCOCCO,1,1.36361198
CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],0.17,CCCCCCCCCCCCCCCC(=O)OCCOCC(OCCOCCOCCOCCOCCO)C1OCC(OCCOCCOCCOCCOCCOCCOCCO)C1OCCOCCOCCOCCOCCOCCOCCOCCO,0.83,1.303196057
CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],0.33,CCCCCCCCCCCCCCCC(=O)OCCOCC(OCCOCCOCCOCCOCCO)C1OCC(OCCOCCOCCOCCOCCOCCOCCO)C1OCCOCCOCCOCCOCCOCCOCCOCCO,0.67,1.399673721
CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],0.5,CCCCCCCCCCCCCCCC(=O)OCCOCC(OCCOCCOCCOCCOCCO)C1OCC(OCCOCCOCCOCCOCCOCCOCCO)C1OCCOCCOCCOCCOCCOCCOCCOCCO,0.5,1.550228353
CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],0.67,CCCCCCCCCCCCCCCC(=O)OCCOCC(OCCOCCOCCOCCOCCO)C1OCC(OCCOCCOCCOCCOCCOCCOCCO)C1OCCOCCOCCOCCOCCOCCOCCOCCO,0.33,1.749736316
CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],0.83,CCCCCCCCCCCCCCCC(=O)OCCOCC(OCCOCCOCCOCCOCCO)C1OCC(OCCOCCOCCOCCOCCOCCOCCO)C1OCCOCCOCCOCCOCCOCCOCCOCCO,0.17,1.949877704
CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],1,CCCCCCCCCCCCCCCC(=O)OCCOCC(OCCOCCOCCOCCOCCO)C1OCC(OCCOCCOCCOCCOCCOCCOCCO)C1OCCOCCOCCOCCOCCOCCOCCOCCO,0,2.929418926
CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],0,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,1,0.505149978
CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],0.17,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.83,0.556302501
CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],0.33,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.67,0.653212514
CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],0.5,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.5,0.799340549
CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],0.67,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.33,0.949390007
CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],0.83,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.17,1.201397124
CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],1,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0,2.929418926
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],1,C[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)C.[Br-].[Br-],0,4.045714059
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.979910045,C[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)C.[Br-].[Br-],0.020089955,3.221757322
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.951124438,C[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)C.[Br-].[Br-],0.048875562,3.079497908
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.900749625,C[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)C.[Br-].[Br-],0.099250375,3.0041841
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.802698651,C[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)C.[Br-].[Br-],0.197301349,2.933054393
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.666866567,C[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)C.[Br-].[Br-],0.333133433,2.874476987
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.6011994,C[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)C.[Br-].[Br-],0.3988006,2.983263598
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.499550225,C[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)C.[Br-].[Br-],0.500449775,2.987447699
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.3988006,C[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)C.[Br-].[Br-],0.6011994,3.008368201
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.301649175,C[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)C.[Br-].[Br-],0.698350825,3.066945607
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.20089955,C[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)C.[Br-].[Br-],0.79910045,3.112970711
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.101049475,C[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)C.[Br-].[Br-],0.898950525,3.334728033
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.049775112,C[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)C.[Br-].[Br-],0.950224888,3.435146444
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0,C[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)C.[Br-].[Br-],1,4.602059991
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],1,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0,4.045714059
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.979910045,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.020089955,2.933054393
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.952023988,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.047976012,2.794979079
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.902548726,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.097451274,2.627615063
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.8017991,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.1982009,2.493723849
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.701049475,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.298950525,2.443514644
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.60029985,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.39970015,2.389121339
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.500449775,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.499550225,2.368200837
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.40149925,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.59850075,2.389121339
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.301649175,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.698350825,2.405857741
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.2,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.8,2.464435146
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.099250375,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.900749625,2.635983264
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.048875562,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.951124438,2.757322176
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0,CCCCCCCCCCCC[N+](C)(C)C.[Br-],1,4.146443515
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],1,CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0,4.045714059
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.949325337,CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.050674663,1.887029289
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.901649175,CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.098350825,1.811715481
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.80089955,CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.19910045,1.485355649
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.668665667,CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.331334333,1.016736402
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.6011994,CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.3988006,1.167364017
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.501349325,CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.498650675,1.20083682
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.4005997,CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.5994003,1.384937238
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.299850075,CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.700149925,1.531380753
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.19910045,CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.80089955,1.552301255
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.099250375,CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.900749625,1.790794979
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.050674663,CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.949325337,1.89539749
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0,CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],1,2.991631799
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],1,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],0,4.045714059
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.980809595,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],0.019190405,1.694560669
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.900749625,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],0.099250375,1.569037657
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.80089955,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],0.19910045,1.414225941
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.700149925,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],0.299850075,1.317991632
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.500449775,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],0.499550225,1.108786611
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.299850075,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],0.700149925,1.384937238
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.100149925,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],0.899850075,1.514644351
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.048875562,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],0.951124438,1.518828452
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],1,1.815899582
C1=CC(=CC(=C1OC(C(=O)[O-])CCCCCCCCCC))OC(C(=O)[O-])CCCCCCCCCC.[Na+].[Na+],0,CCCCCCCCCCCC[N+](C)(C)C.[Br-],1,3.916453949
C1=CC(=CC(=C1OC(C(=O)[O-])CCCCCCCCCC))OC(C(=O)[O-])CCCCCCCCCC.[Na+].[Na+],0.1,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.9,1.324282455
C1=CC(=CC(=C1OC(C(=O)[O-])CCCCCCCCCC))OC(C(=O)[O-])CCCCCCCCCC.[Na+].[Na+],0.2,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.8,1.195899652
C1=CC(=CC(=C1OC(C(=O)[O-])CCCCCCCCCC))OC(C(=O)[O-])CCCCCCCCCC.[Na+].[Na+],0.33,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.67,1.06069784
C1=CC(=CC(=C1OC(C(=O)[O-])CCCCCCCCCC))OC(C(=O)[O-])CCCCCCCCCC.[Na+].[Na+],0.5,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.5,1.307496038
C1=CC(=CC(=C1OC(C(=O)[O-])CCCCCCCCCC))OC(C(=O)[O-])CCCCCCCCCC.[Na+].[Na+],0.7,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.3,1.340444115
C1=CC(=CC(=C1OC(C(=O)[O-])CCCCCCCCCC))OC(C(=O)[O-])CCCCCCCCCC.[Na+].[Na+],0.9,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.1,1.572871602
C1=CC(=CC(=C1OC(C(=O)[O-])CCCCCCCCCC))OC(C(=O)[O-])CCCCCCCCCC.[Na+].[Na+],1,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0,1.968482949
C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)(F)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,1,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0,2.590529248
C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)(F)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.901748252,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.098251748,2.576601671
C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)(F)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.8,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.2,2.559888579
C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)(F)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.699300699,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.300699301,2.445682451
