smile_A,mol_fraction_A,smile_B,mol_fraction_B
CCCCCC(=O)[O-],0.784799542,CCCCCCCCCC(=O)[O-],0.215200458
CCCCCC(=O)[O-],0.646538678,CCCCCCCCCC(=O)[O-],0.353461322
CCCCCC(=O)[O-],0.397432112,CCCCCCCCCC(=O)[O-],0.602567888
CCCCCC(=O)[O-],0.202462183,CCCCCCCCCC(=O)[O-],0.797537817
CCCCCC(=O)[O-],0.003216569,CCCCCCCCCC(=O)[O-],0.996783431
CCCCCC(=O)[O-],1.0,CCCCCCCCCCC(=O)[O-],0.0
CCCCCC(=O)[O-],0.991700508,CCCCCCCCCCC(=O)[O-],0.008299492
CCCCCC(=O)[O-],0.979288432,CCCCCCCCCCC(=O)[O-],0.020711568
CCCCCC(=O)[O-],0.957133744,CCCCCCCCCCC(=O)[O-],0.042866256
CCCCCC(=O)[O-],0.899755764,CCCCCCCCCCC(=O)[O-],0.100244236
CCCCCC(=O)[O-],0.738768331,CCCCCCCCCCC(=O)[O-],0.261231669
CCCCCC(=O)[O-],0.506772757,CCCCCCCCCCC(=O)[O-],0.493227243
CCCCCC(=O)[O-],0.273404258,CCCCCCCCCCC(=O)[O-],0.726595742
CCCCCC(=O)[O-],0.122580605,CCCCCCCCCCC(=O)[O-],0.877419395
CCCCCC(=O)[O-],0.004465622,CCCCCCCCCCC(=O)[O-],0.995534378
CCCCCC(=O)[O-],1.0,CCCCCCCCCCCCCC(=O)[O-],0.0
CCCCCC(=O)[O-],0.9910254,CCCCCCCCCCCCCC(=O)[O-],0.0089746
CCCCCC(=O)[O-],0.98930563,CCCCCCCCCCCCCC(=O)[O-],0.01069437
CCCCCC(=O)[O-],0.983318434,CCCCCCCCCCCCCC(=O)[O-],0.016681566
CCCCCC(=O)[O-],0.95040331,CCCCCCCCCCCCCC(=O)[O-],0.04959669
CCCCCC(=O)[O-],0.689966492,CCCCCCCCCCCCCC(=O)[O-],0.310033508
CCCCCC(=O)[O-],0.453827366,CCCCCCCCCCCCCC(=O)[O-],0.546172634
CCCCCC(=O)[O-],0.234774458,CCCCCCCCCCCCCC(=O)[O-],0.765225542
CCCCCC(=O)[O-],0.002919274,CCCCCCCCCCCCCC(=O)[O-],0.997080726
CC(CCC(=O)[O-])C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,0.0,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,1.0
CC(CCC(=O)[O-])C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,0.17,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,0.83
CC(CCC(=O)[O-])C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,0.33,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,0.67
CC(CCC(=O)[O-])C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,0.5,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,0.5
CC(CCC(=O)[O-])C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,0.67,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,0.33
